Name,Platform,Genre
Wii Sports,Wii,Sports
Super Mario Bros.,NES,Platform
Mario Kart Wii,Wii,Racing
Wii Sports Resort,Wii,Sports
Pokemon Red/Pokemon Blue,GB,Role-Playing
Tetris,GB,Puzzle
New Super Mario Bros.,DS,Platform
Wii Play,Wii,Misc
New Super Mario Bros. Wii,Wii,Platform
Duck Hunt,NES,Shooter
Nintendogs,DS,Simulation
Mario Kart DS,DS,Racing
Pokemon Gold/Pokemon Silver,GB,Role-Playing
Wii Fit,Wii,Sports
Wii Fit Plus,Wii,Sports
Kinect Adventures!,X360,Misc
Grand Theft Auto V,PS3,Action
Grand Theft Auto: San Andreas,PS2,Action
Super Mario World,SNES,Platform
Brain Age: Train Your Brain in Minutes a Day,DS,Misc
Pokemon Diamond/Pokemon Pearl,DS,Role-Playing
Super Mario Land,GB,Platform
Super Mario Bros. 3,NES,Platform
Grand Theft Auto V,X360,Action
Grand Theft Auto: Vice City,PS2,Action
Pokemon Ruby/Pokemon Sapphire,GBA,Role-Playing
Pokemon Black/Pokemon White,DS,Role-Playing
Brain Age 2: More Training in Minutes a Day,DS,Puzzle
Gran Turismo 3: A-Spec,PS2,Racing
Call of Duty: Modern Warfare 3,X360,Shooter
Pokémon Yellow: Special Pikachu Edition,GB,Role-Playing
Call of Duty: Black Ops,X360,Shooter
Pokemon X/Pokemon Y,3DS,Role-Playing
Call of Duty: Black Ops 3,PS4,Shooter
Call of Duty: Black Ops II,PS3,Shooter
Call of Duty: Black Ops II,X360,Shooter
Call of Duty: Modern Warfare 2,X360,Shooter
Call of Duty: Modern Warfare 3,PS3,Shooter
Grand Theft Auto III,PS2,Action
Super Smash Bros. Brawl,Wii,Fighting
Call of Duty: Black Ops,PS3,Shooter
Animal Crossing: Wild World,DS,Simulation
Mario Kart 7,3DS,Racing
Halo 3,X360,Shooter
Grand Theft Auto V,PS4,Action
Pokemon HeartGold/Pokemon SoulSilver,DS,Action
Super Mario 64,N64,Platform
Gran Turismo 4,PS2,Racing
Super Mario Galaxy,Wii,Platform
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,Role-Playing
Super Mario Land 2: 6 Golden Coins,GB,Adventure
Grand Theft Auto IV,X360,Action
Gran Turismo,PS,Racing
Super Mario 3D Land,3DS,Platform
Gran Turismo 5,PS3,Racing
Call of Duty: Modern Warfare 2,PS3,Shooter
Grand Theft Auto IV,PS3,Action
Super Mario All-Stars,SNES,Platform
Pokemon FireRed/Pokemon LeafGreen,GBA,Role-Playing
Super Mario 64,DS,Platform
Just Dance 3,Wii,Misc
Call of Duty: Ghosts,X360,Shooter
Halo: Reach,X360,Shooter
Mario Kart 64,N64,Racing
New Super Mario Bros. 2,3DS,Platform
Halo 4,X360,Shooter
Final Fantasy VII,PS,Role-Playing
Call of Duty: Ghosts,PS3,Shooter
Just Dance 2,Wii,Misc
Gran Turismo 2,PS,Racing
Call of Duty 4: Modern Warfare,X360,Shooter
Donkey Kong Country,SNES,Platform
Minecraft,X360,Misc
Animal Crossing: New Leaf,3DS,Simulation
Mario Party DS,DS,Misc
The Elder Scrolls V: Skyrim,X360,Role-Playing
Super Mario Kart,SNES,Racing
FIFA 16,PS4,Sports
Wii Party,Wii,Misc
Halo 2,XB,Shooter
Mario Party 8,Wii,Misc
Pokemon Black 2/Pokemon White 2,DS,Role-Playing
FIFA Soccer 13,PS3,Action
The Sims 3,PC,Simulation
GoldenEye 007,N64,Shooter
Mario & Sonic at the Olympic Games,Wii,Sports
Final Fantasy X,PS2,Role-Playing
Final Fantasy VIII,PS,Role-Playing
Pokémon Platinum Version,DS,Role-Playing
Pac-Man,2600,Puzzle
Grand Theft Auto: Liberty City Stories,PSP,Action
Super Mario Galaxy 2,Wii,Platform
Star Wars Battlefront (2015),PS4,Shooter
Call of Duty: Advanced Warfare,PS4,Shooter
The Legend of Zelda: Ocarina of Time,N64,Action
Crash Bandicoot 2: Cortex Strikes Back,PS,Platform
Super Mario Bros. 2,NES,Platform
Super Smash Bros. for Wii U and 3DS,3DS,Fighting
Call of Duty: World at War,X360,Shooter
Battlefield 3,X360,Shooter
The Legend of Zelda: Twilight Princess,Wii,Action
Call of Duty: Black Ops 3,XOne,Shooter
Just Dance,Wii,Misc
Battlefield 3,PS3,Shooter
Need for Speed Underground,PS2,Racing
Tekken 3,PS,Fighting
Crash Bandicoot 3: Warped,PS,Platform
Super Smash Bros. Melee,GC,Fighting
Mario Kart 8,WiiU,Racing
Fallout 4,PS4,Role-Playing
Mario Kart: Double Dash!!,GC,Racing
Just Dance 4,Wii,Misc
FIFA 14,PS3,Sports
Need for Speed Underground 2,PS2,Racing
Medal of Honor: Frontline,PS2,Shooter
Uncharted 3: Drake's Deception,PS3,Action
Crash Bandicoot,PS,Platform
Zumba Fitness,Wii,Sports
Gears of War 2,X360,Shooter
Uncharted 2: Among Thieves,PS3,Action
Call of Duty 4: Modern Warfare,PS3,Shooter
FIFA 12,PS3,Sports
Big Brain Academy,DS,Misc
Red Dead Redemption,PS3,Action
FIFA 15,PS4,Sports
Donkey Kong Country Returns,Wii,Platform
The Elder Scrolls V: Skyrim,PS3,Role-Playing
The Legend of Zelda,NES,Action
Assassin's Creed III,PS3,Action
Halo: Combat Evolved,XB,Shooter
Pokémon Emerald Version,GBA,Role-Playing
Kingdom Hearts,PS2,Role-Playing
Pokémon Crystal Version,GB,Role-Playing
Halo 3: ODST,X360,Shooter
Red Dead Redemption,X360,Action
Super Mario Sunshine,GC,Platform
Street Fighter II: The World Warrior,SNES,Fighting
World of Warcraft,PC,Role-Playing
Driver,PS,Action
Kinect Sports,X360,Sports
Gears of War 3,X360,Shooter
Gears of War,X360,Shooter
Metal Gear Solid 2: Sons of Liberty,PS2,Action
Sonic the Hedgehog 2,GEN,Platform
Metal Gear Solid 4: Guns of the Patriots,PS3,Action
Metal Gear Solid,PS,Action
The Last of Us,PS3,Action
Final Fantasy XII,PS2,Role-Playing
LittleBigPlanet,PS3,Platform
Dragon Quest IX: Sentinels of the Starry Skies,DS,Role-Playing
LEGO Star Wars: The Complete Saga,Wii,Action
Resident Evil 2,PS,Action
Tekken 2,PS,Fighting
Cooking Mama,DS,Simulation
Destiny,PS4,Shooter
Tetris,NES,Puzzle
Assassin's Creed II,PS3,Action
Super Smash Bros.,N64,Fighting
Assassin's Creed,X360,Adventure
Batman: Arkham City,PS3,Action
Forza Motorsport 3,X360,Racing
Monster Hunter Freedom Unite,PSP,Role-Playing
Super Mario Advance,GBA,Platform
Mario Kart: Super Circuit,GBA,Racing
Super Mario World,GBA,Platform
Pokemon Stadium,N64,Strategy
Call of Duty: World at War,PS3,Shooter
Crash Bandicoot: The Wrath of Cortex,PS2,Platform
Minecraft,PS3,Misc
Final Fantasy XIII,PS3,Role-Playing
Dr. Mario,GB,Puzzle
Pokemon Pinball,GB,Misc
Assassin's Creed III,X360,Action
Final Fantasy IX,PS,Role-Playing
Final Fantasy X-2,PS2,Role-Playing
Donkey Kong 64,N64,Platform
Assassin's Creed II,X360,Action
Professor Layton and the Curious Village,DS,Puzzle
Tomb Raider II,PS,Action
Madden NFL 2004,PS2,Sports
Dragon Quest VIII: Journey of the Cursed King,PS2,Role-Playing
Diablo III,PC,Role-Playing
Super Mario Bros. 3,GBA,Platform
New Super Mario Bros. U,WiiU,Platform
Super Mario Land 3: Wario Land,GB,Platform
FIFA Soccer 13,X360,Action
The Legend of Zelda: Phantom Hourglass,DS,Action
Donkey Kong Country 2: Diddy's Kong Quest,SNES,Platform
Tomodachi Life,3DS,Simulation
Mario & Sonic at the Olympic Games,DS,Sports
Medal of Honor: Rising Sun,PS2,Shooter
Kirby's Dream Land,GB,Platform
Fable III,X360,Role-Playing
Call of Duty: Advanced Warfare,XOne,Shooter
Microsoft Flight Simulator,PC,Simulation
Guitar Hero II,PS2,Misc
Resident Evil 5,PS3,Action
Grand Theft Auto V,XOne,Action
Grand Theft Auto: Vice City Stories,PSP,Action
FIFA Soccer 11,PS3,Sports
Super Mario Bros.,GB,Platform
Resident Evil,PS,Action
Tony Hawk's Pro Skater,PS,Sports
Super Smash Bros. for Wii U and 3DS,WiiU,Fighting
Warzone 2100,PS,Strategy
Spyro the Dragon,PS,Platform
Link's Crossbow Training,Wii,Shooter
Guitar Hero III: Legends of Rock,PS2,Misc
Fallout 3,X360,Role-Playing
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,Role-Playing
Uncharted: Drake's Fortune,PS3,Action
Madden NFL 06,PS2,Sports
LEGO Star Wars: The Complete Saga,DS,Action
Diddy Kong Racing,N64,Racing
Monster Hunter Freedom 3,PSP,Role-Playing
Dr. Mario,NES,Puzzle
God of War III,PS3,Action
StarCraft II: Wings of Liberty,PC,Strategy
Assassin's Creed,PS3,Adventure
FIFA 15,PS3,Sports
Crash Team Racing,PS,Racing
FIFA 17,PS4,Sports
Batman: Arkham City,X360,Action
Driver 2,PS,Action
The Simpsons: Hit & Run,PS2,Racing
Tony Hawk's Pro Skater 2,PS,Sports
Animal Crossing: City Folk,Wii,Simulation
The Lord of the Rings: The Two Towers,PS2,Action
Forza Motorsport 4,X360,Racing
Tomb Raider,PS,Action
Guitar Hero III: Legends of Rock,Wii,Misc
The Legend of Zelda: A Link to the Past,SNES,Action
The Legend of Zelda: The Wind Waker,GC,Action
Mario & Sonic at the Olympic Winter Games,Wii,Sports
Luigi's Mansion: Dark Moon,3DS,Action
Splatoon,WiiU,Shooter
The Last of Us,PS4,Action
Guitar Hero III: Legends of Rock,X360,Misc
Madden NFL 2005,PS2,Sports
Pitfall!,2600,Platform
Madden NFL 07,PS2,Sports
Spider-Man: The Movie,PS2,Action
Dragon Quest VII: Warriors of Eden,PS,Role-Playing
Uncharted: The Nathan Drake Collection,PS4,Action
Call of Duty: Advanced Warfare,PS3,Shooter
God of War,PS2,Action
Nintendo Land,WiiU,Misc
Michael Jackson: The Experience,Wii,Misc
Tony Hawk's Pro Skater 3,PS2,Sports
Winning Eleven: Pro Evolution Soccer 2007,PS2,Sports
The Elder Scrolls IV: Oblivion,X360,Role-Playing
Zelda II: The Adventure of Link,NES,Adventure
Need for Speed: Most Wanted,PS2,Racing
Resistance: Fall of Man,PS3,Shooter
Sonic the Hedgehog,GEN,Platform
Kingdom Hearts II,PS2,Role-Playing
FIFA 14,X360,Sports
Call of Duty: Advanced Warfare,X360,Shooter
Asteroids,2600,Shooter
Fable II,X360,Role-Playing
Halo 5: Guardians,XOne,Shooter
Super Mario 3D World,WiiU,Platform
Batman: Arkham Asylum,PS3,Action
